company,n
Lenz & Staehelin,273
PwC,138
BearingPoint,122
EY,112
Slalom,104
Strategy&,75
Grant Thornton,67
Covington & Burling,53
Ashurst,43
Bain & Company,41
BDO,38
Niederer Kraft Frey,35
Simon-Kucher,35
Capgemini Invent,34
Accenture,29
Gibson Dunn,27
KPMG,23
Freshfields Bruckhaus Deringer,22
Latham & Watkins,20
Jones Day,17
Charles River Associates,14
Deloitte,14
RSM,14
Roland Berger,13
Pestalozzi,12
Clifford Chance,11
FTI Consulting,11
K&L Gates,11
Walder Wyss,11
Davis Polk,9
AlixPartners,8
Baker McKenzie,8
Huron Consulting,8
L.E.K. Consulting,8
Linklaters,8
Willis Towers Watson,8
Cleary Gottlieb,6
Mayer Brown,4
Homburger,2
